X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1128.0,1128.0,train,1.4989828039646913E-4,39.01401907584912,0.6298879813798239
1129.0,1129.0,train,2.539833179266424E-4,61.041872213298134,0.8143922019472449
1130.0,1130.0,train,3.054512427824124E-4,69.50815382123157,0.8680581983661106
1131.0,1131.0,train,1.7215265701581327E-4,43.16593251491975,0.6806649735555048
1132.0,1132.0,train,3.5170793102805927E-4,80.63233347037892,0.9029097623682117
1133.0,1133.0,train,2.0001032534374595E-4,47.90101208173805,0.7345248042167645
1134.0,1134.0,train,2.7396048624819016E-4,64.3940403530899,0.8374199188290747
1135.0,1135.0,train,5.651815326014147E-6,1.4048245910513797,0.03678266733124791
1136.0,1136.0,train,3.4553102941289686E-4,79.88298631879267,0.8988505832936
1137.0,1137.0,train,2.502253714219047E-4,59.90271092499394,0.8097090668716826
1138.0,1138.0,train,3.563280463455224E-4,81.05114019382152,0.9058390412071236
1139.0,1139.0,train,2.3948129347515343E-4,56.844079334604736,0.7956577569304929
1140.0,1140.0,train,3.6397289510531736E-5,9.461591835165715,0.21442875900914615
1141.0,1141.0,train,4.371834192672877E-5,10.898878799293808,0.2516531927497646
1142.0,1142.0,train,3.700057640689573E-4,85.98941306873867,0.9140031157968601
1143.0,1143.0,train,2.5699834193602353E-4,61.51170239679666,0.8180660457995501
1144.0,1144.0,train,4.458869492323562E-4,99.09032921981542,0.9480045583893733
1145.0,1145.0,train,2.3880590357880016E-4,56.62586926222003,0.7947405797365943
1146.0,1146.0,train,1.8208849610600448E-4,44.972605695370284,0.7010255969736603
1147.0,1147.0,train,2.206224375355983E-4,51.62681510396829,0.7684383692691625
1148.0,1148.0,train,2.4353755847894914E-4,58.003399122896475,0.8010805719219479
1149.0,1149.0,train,4.696081046101709E-5,11.559605869084434,0.2675711019657011
1150.0,1150.0,train,1.0453571348657078E-4,27.580731822490677,0.5000055258440054
1151.0,1151.0,train,3.137896594955016E-4,71.8358011587652,0.875155329336073
1152.0,1152.0,train,2.71961598307201E-4,64.11055850044605,0.8352506928795831
1153.0,1153.0,train,1.932733028168108E-4,46.66223379691962,0.7223966093545013
1154.0,1154.0,train,2.206224375355983E-4,51.62681510396829,0.7684383692691625
1155.0,1155.0,train,1.3637584602744392E-4,36.26322930755781,0.595168619536641
1156.0,1156.0,train,9.27189367319345E-5,24.19460784895499,0.4592527122359218
1157.0,1157.0,train,3.2943931048097486E-4,76.12683669026225,0.8874609579955536
1158.0,1158.0,train,6.813109082756448E-6,1.7955971357659395,0.044171282440723436
1159.0,1159.0,train,1.2501655776393336E-4,33.42081737495842,0.5634983692293658
1160.0,1160.0,train,3.9662200147821096E-4,92.17726364656359,0.9279166275695858
1161.0,1161.0,train,8.097899030560644E-5,20.718491826359127,0.41547613902229585
1162.0,1162.0,train,4.144950789712406E-4,95.34944496465212,0.9359726641663012
1163.0,1163.0,train,2.760891752052196E-4,64.90091267097257,0.83969861183734
1164.0,1164.0,train,2.5416574619390754E-4,61.18051829885716,0.8146165867315147
1165.0,1165.0,train,7.102119894571439E-5,17.287162767477625,0.37557826662030525
1166.0,1166.0,train,2.1609408395421647E-4,50.62802591983135,0.761379889677134
1167.0,1167.0,train,1.6436258489530847E-4,41.69514387909711,0.663736387987085
1168.0,1168.0,train,3.491298381598166E-4,80.42810800565327,0.9012357478693689
1169.0,1169.0,train,3.601612968798632E-4,81.91513859807056,0.9082022282624888
1170.0,1170.0,train,4.2729096391821525E-4,96.0639830936267,0.9411811245132905
1171.0,1171.0,train,2.237478850697308E-5,6.5915150393780495,0.13788219414817204
1172.0,1172.0,train,3.700057640689573E-4,85.98941306873867,0.9140031157968601
1173.0,1173.0,train,1.0423868699647769E-4,27.503616837718567,0.4990198007013894
1174.0,1174.0,train,3.9593439077443204E-4,90.18545269442707,0.927587218261677
1175.0,1175.0,train,7.226086119301647E-5,17.685139523603624,0.3806899666374971
1176.0,1176.0,train,2.570587901716572E-4,61.51938778082526,0.8181389542807299
1177.0,1177.0,train,6.0627308650331626E-5,14.548960426830808,0.33102540598317143
1178.0,1178.0,train,9.661992893849959E-5,25.32287335338697,0.4730607616499639
1179.0,1179.0,train,1.688699377373451E-4,42.689953062166495,0.673637758421807
1180.0,1180.0,train,3.9593439077443204E-4,90.18545269442707,0.927587218261677
1181.0,1181.0,train,8.353525543743739E-5,21.506670162014633,0.4253004105791287
1182.0,1182.0,train,4.5577959117235686E-5,11.231601298717894,0.26082424805215676
1183.0,1183.0,train,8.016219225732041E-5,20.43442275474842,0.41230174199514147
1184.0,1184.0,train,3.700057640689573E-4,85.98941306873867,0.9140031157968601
1185.0,1185.0,train,2.4246206825405742E-4,57.55254268661099,0.7996569297352035
1186.0,1186.0,train,1.1359370321589098E-4,30.17594446719413,0.529152113273742
1187.0,1187.0,train,1.7829412185188206E-4,44.2871436954134,0.693408022401597
1188.0,1188.0,train,3.4682946346858734E-4,80.03343275734815,0.8997177103726473
1189.0,1189.0,train,1.1057702832652474E-4,29.33749184097085,0.5196388902351272
1190.0,1190.0,train,1.1897876499833634E-4,31.78953921928006,0.545668244291205
1191.0,1191.0,train,4.2729096391821525E-4,96.0639830936267,0.9411811245132905
1192.0,1192.0,train,1.7787545824578228E-4,44.22858777146348,0.6925557142282203
1193.0,1193.0,train,2.3444577242357466E-4,55.4345520060803,0.7887196511242709
1194.0,1194.0,train,4.150901532828059E-4,95.38907817597575,0.9362248076718153
1195.0,1195.0,train,7.430239782282376E-5,18.515873139934097,0.3890171239195449
1196.0,1196.0,train,2.4948811990785857E-4,59.666965025805375,0.8087765355186923
1197.0,1197.0,train,2.283799689604642E-5,6.695003995541483,0.1405260875541472
1198.0,1198.0,train,4.2491383392409283E-4,95.9588112771426,0.9402466561754127
1199.0,1199.0,train,2.0382624214257582E-4,48.46278687000688,0.7411577694593181
